Modo,Jogadores,Histórico,Vencedor,Placar,Naipe Principal,Carta Virada,Início da Partida,Término da Partida
Singleplayer,"testes, Bot1, Bot2, Bot3","Carta virada (Bebi): 3 de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: J de Paus, A de Paus, J de Copas
Jogador 2: 3 de Paus, K de Paus, K de Espadas
Jogador 3: Q de Ouros, A de Espadas, J de Ouros
Jogador 4: Q de Paus, 2 de Paus, Q de Espadas || Rodada: testes: J de Paus, Bot1: K de Espadas, Bot2: Q de Ouros, Bot3: 2 de Paus || Bot3 venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Rodada: testes: A de Paus, Bot1: 3 de Paus, Bot2: J de Ouros, Bot3: Q de Espadas || Bot3 venceu a rodada. Motivo: A carta Q de Espadas foi a maior. || Rodada: testes: J de Copas, Bot1: K de Paus, Bot2: A de Espadas, Bot3: Q de Paus || Bot2 venceu a rodada. Motivo: A carta A de Espadas foi a maior. || Dupla 2 venceu a partida com placar [1, 2] || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Espadas,"('3', 'Espadas')",2025-02-11 22:11:38,2025-02-11 22:11:44
Singleplayer,"Airton, Bot1, Bot2, Bot3","Carta virada (Bebi): Q de Copas || Naipe principal: Copas || Cartas distribuídas:
Jogador 1: A de Ouros, K de Paus, J de Copas
Jogador 2: 3 de Espadas, J de Espadas, 2 de Espadas
Jogador 3: Q de Paus, 2 de Paus, K de Copas
Jogador 4: K de Ouros, A de Copas, J de Ouros || Rodada: Airton: A de Ouros, Bot1: 3 de Espadas, Bot2: 2 de Paus, Bot3: K de Ouros || Bot1 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Airton: K de Paus, Bot1: 2 de Espadas, Bot2: Q de Paus, Bot3: J de Ouros || Bot1 venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Rodada: Airton: J de Copas, Bot1: J de Espadas, Bot2: K de Copas, Bot3: A de Copas || Bot2 venceu a rodada. Motivo: A carta K de Copas foi a maior. || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Copas,"('Q', 'Copas')",2025-02-12 08:46:38,2025-02-12 08:51:01
Singleplayer,"Airton, Bot1, Bot2, Bot3","Carta virada (Bebi): Q de Copas || Naipe principal: Copas || Cartas distribuídas:
Jogador 1: A de Ouros, K de Paus, J de Copas
Jogador 2: 3 de Espadas, J de Espadas, 2 de Espadas
Jogador 3: Q de Paus, 2 de Paus, K de Copas
Jogador 4: K de Ouros, A de Copas, J de Ouros || Rodada: Airton: A de Ouros, Bot1: 3 de Espadas, Bot2: 2 de Paus, Bot3: K de Ouros || Bot1 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Airton: K de Paus, Bot1: 2 de Espadas, Bot2: Q de Paus, Bot3: J de Ouros || Bot1 venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Rodada: Airton: J de Copas, Bot1: J de Espadas, Bot2: K de Copas, Bot3: A de Copas || Bot2 venceu a rodada. Motivo: A carta K de Copas foi a maior. || Dupla 2 venceu a partida com placar [1, 2] || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Copas,"('Q', 'Copas')",2025-02-12 08:46:38,2025-02-12 08:51:01
Multiplayer,"jooj, Airton, Tailan, Rubens","Carta virada (Bebi): J de Copas || Naipe principal: Copas || Cartas distribuídas:
Jogador 1: 3 de Paus, J de Espadas, Q de Paus
Jogador 2: K de Espadas, K de Ouros, A de Copas
Jogador 3: J de Ouros, Q de Espadas, 2 de Paus
Jogador 4: K de Copas, Q de Copas, K de Paus || jooj venceu a rodada. Motivo: A carta 3 de Paus foi a maior. || Dupla 2 venceu a partida com placar [1, 0]",Dupla 1,"[1, 0]",Copas,"('J', 'Copas')",2025-02-12 09:08:00,2025-02-12 09:12:16
Singleplayer,"Rubens, Bot1, Bot2, Bot3","Carta virada (Bebi): K de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: Q de Ouros, J de Paus, K de Copas
Jogador 2: A de Paus, J de Ouros, 3 de Espadas
Jogador 3: Q de Copas, K de Ouros, K de Espadas
Jogador 4: Q de Paus, 3 de Paus, A de Ouros || Rodada: Rubens: K de Copas, Bot1: A de Paus, Bot2: Q de Copas, Bot3: A de Ouros || Bot3 venceu a rodada. Motivo: A carta A de Ouros foi a maior. || Rodada: Rubens: J de Paus, Bot1: 3 de Espadas, Bot2: K de Ouros, Bot3: 3 de Paus || Bot1 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Rubens: Q de Ouros, Bot1: J de Ouros, Bot2: K de Espadas, Bot3: Q de Paus || Bot3 venceu a rodada. Motivo: A carta Q de Paus foi a maior. || Dupla 2 venceu a partida com placar [0, 3]",Dupla 2,"[0, 3]",Paus,"('K', 'Paus')",2025-02-12 18:00:37,2025-02-12 18:01:34
Singleplayer,"Rubens, Bot1, Bot2, Bot3","Carta virada (Bebi): K de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: Q de Ouros, J de Paus, K de Copas
Jogador 2: A de Paus, J de Ouros, 3 de Espadas
Jogador 3: Q de Copas, K de Ouros, K de Espadas
Jogador 4: Q de Paus, 3 de Paus, A de Ouros || Rodada: Rubens: K de Copas, Bot1: A de Paus, Bot2: Q de Copas, Bot3: A de Ouros || Bot3 venceu a rodada. Motivo: A carta A de Ouros foi a maior. || Rodada: Rubens: J de Paus, Bot1: 3 de Espadas, Bot2: K de Ouros, Bot3: 3 de Paus || Bot1 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Rubens: Q de Ouros, Bot1: J de Ouros, Bot2: K de Espadas, Bot3: Q de Paus || Bot3 venceu a rodada. Motivo: A carta Q de Paus foi a maior. || Dupla 2 venceu a partida com placar [0, 3] || Dupla 2 venceu a partida com placar [0, 3]",Dupla 2,"[0, 3]",Paus,"('K', 'Paus')",2025-02-12 18:00:37,2025-02-12 18:01:34
Multiplayer,"Tailan, KArthur, Rubens Rabelo, Kaio Sampaio","Carta virada (Bebi): 2 de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: K de Copas, K de Espadas, J de Copas
Jogador 2: J de Paus, K de Paus, Q de Ouros
Jogador 3: A de Paus, 3 de Espadas, Q de Copas
Jogador 4: 2 de Espadas, J de Espadas, A de Copas || Kaio Sampaio venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Rubens Rabelo venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Tailan venceu a rodada. Motivo: A carta K de Copas foi a maior. || Dupla 1 venceu a partida com placar [2, 1]",Dupla 1,"[2, 1]",Paus,"('2', 'Paus')",2025-02-12 18:03:50,2025-02-12 18:04:25
Singleplayer,"Rubens Rabelo Soares, Bot1, Bot2, Bot3","Carta virada (Bebi): 2 de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: A de Espadas, Q de Espadas, 2 de Espadas
Jogador 2: K de Paus, A de Copas, J de Copas
Jogador 3: 3 de Espadas, J de Ouros, K de Espadas
Jogador 4: K de Copas, Q de Paus, K de Ouros || Rodada: Rubens Rabelo Soares: Q de Espadas, Bot1: A de Copas, Bot2: J de Ouros, Bot3: Q de Paus || Bot3 venceu a rodada. Motivo: A carta Q de Paus foi a maior. || Rodada: Rubens Rabelo Soares: 2 de Espadas, Bot1: J de Copas, Bot2: 3 de Espadas, Bot3: K de Ouros || Bot2 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Rubens Rabelo Soares: A de Espadas, Bot1: K de Paus, Bot2: K de Espadas, Bot3: K de Copas || Bot1 venceu a rodada. Motivo: A carta K de Paus foi a maior. || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Paus,"('2', 'Paus')",2025-02-12 21:23:09,2025-02-12 21:24:19
Singleplayer,"Rubens Rabelo Soares, Bot1, Bot2, Bot3","Carta virada (Bebi): 2 de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: A de Espadas, Q de Espadas, 2 de Espadas
Jogador 2: K de Paus, A de Copas, J de Copas
Jogador 3: 3 de Espadas, J de Ouros, K de Espadas
Jogador 4: K de Copas, Q de Paus, K de Ouros || Rodada: Rubens Rabelo Soares: Q de Espadas, Bot1: A de Copas, Bot2: J de Ouros, Bot3: Q de Paus || Bot3 venceu a rodada. Motivo: A carta Q de Paus foi a maior. || Rodada: Rubens Rabelo Soares: 2 de Espadas, Bot1: J de Copas, Bot2: 3 de Espadas, Bot3: K de Ouros || Bot2 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Rubens Rabelo Soares: A de Espadas, Bot1: K de Paus, Bot2: K de Espadas, Bot3: K de Copas || Bot1 venceu a rodada. Motivo: A carta K de Paus foi a maior. || Dupla 2 venceu a partida com placar [1, 2] || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Paus,"('2', 'Paus')",2025-02-12 21:23:09,2025-02-12 21:24:19
Multiplayer,"Tailan, sjkasjkasj, asadaaadad, wweewweew","Carta virada (Bebi): Q de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: K de Paus, K de Copas, K de Ouros
Jogador 2: J de Copas, Q de Copas, 2 de Paus
Jogador 3: A de Paus, J de Ouros, A de Espadas
Jogador 4: 2 de Espadas, J de Paus, K de Espadas || wweewweew venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || sjkasjkasj venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || wweewweew venceu a rodada. Motivo: A carta K de Espadas foi a maior. || Dupla 2 venceu a partida com placar [0, 3]",Dupla 2,"[0, 3]",Espadas,"('Q', 'Espadas')",2025-02-12 21:26:14,2025-02-12 21:26:47
Singleplayer,"hjhjhjh, Bot1, Bot2, Bot3","Carta virada (Bebi): A de Ouros || Naipe principal: Ouros || Cartas distribuídas:
Jogador 1: J de Ouros, K de Paus, Q de Paus
Jogador 2: A de Espadas, Q de Espadas, 3 de Paus
Jogador 3: A de Paus, 2 de Espadas, J de Paus
Jogador 4: J de Copas, K de Ouros, Q de Ouros || Rodada: hjhjhjh: Q de Paus, Bot1: 3 de Paus, Bot2: 2 de Espadas, Bot3: K de Ouros || Bot2 venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Rodada: hjhjhjh: K de Paus, Bot1: A de Espadas, Bot2: A de Paus, Bot3: Q de Ouros || Bot3 venceu a rodada. Motivo: A carta Q de Ouros foi a maior. || Rodada: hjhjhjh: J de Ouros, Bot1: Q de Espadas, Bot2: J de Paus, Bot3: J de Copas || hjhjhjh venceu a rodada. Motivo: A carta J de Ouros foi a maior. || Dupla 1 venceu a partida com placar [2, 1]",Dupla 1,"[2, 1]",Ouros,"('A', 'Ouros')",2025-02-13 00:44:20,2025-02-13 00:44:22
Singleplayer,"hjhjhjh, Bot1, Bot2, Bot3","Carta virada (Bebi): A de Ouros || Naipe principal: Ouros || Cartas distribuídas:
Jogador 1: J de Ouros, K de Paus, Q de Paus
Jogador 2: A de Espadas, Q de Espadas, 3 de Paus
Jogador 3: A de Paus, 2 de Espadas, J de Paus
Jogador 4: J de Copas, K de Ouros, Q de Ouros || Rodada: hjhjhjh: Q de Paus, Bot1: 3 de Paus, Bot2: 2 de Espadas, Bot3: K de Ouros || Bot2 venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Rodada: hjhjhjh: K de Paus, Bot1: A de Espadas, Bot2: A de Paus, Bot3: Q de Ouros || Bot3 venceu a rodada. Motivo: A carta Q de Ouros foi a maior. || Rodada: hjhjhjh: J de Ouros, Bot1: Q de Espadas, Bot2: J de Paus, Bot3: J de Copas || hjhjhjh venceu a rodada. Motivo: A carta J de Ouros foi a maior. || Dupla 1 venceu a partida com placar [2, 1] || Dupla 1 venceu a partida com placar [2, 1]",Dupla 1,"[2, 1]",Ouros,"('A', 'Ouros')",2025-02-13 00:44:20,2025-02-13 00:44:22
Singleplayer,"jooj, Bot1, Bot2, Bot3","Carta virada (Bebi): A de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: Q de Espadas, K de Ouros, A de Ouros
Jogador 2: 3 de Paus, K de Espadas, Q de Paus
Jogador 3: J de Ouros, 3 de Espadas, K de Copas
Jogador 4: 2 de Paus, A de Copas, J de Copas || Rodada: jooj: K de Ouros, Bot1: 3 de Paus, Bot2: J de Ouros, Bot3: J de Copas || Bot1 venceu a rodada. Motivo: A carta 3 de Paus foi a maior. || Rodada: jooj: A de Ouros, Bot1: K de Espadas, Bot2: K de Copas, Bot3: A de Copas || jooj venceu a rodada. Motivo: A carta A de Ouros foi a maior. || Rodada: jooj: Q de Espadas, Bot1: Q de Paus, Bot2: 3 de Espadas, Bot3: 2 de Paus || Bot2 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Dupla 1 venceu a partida com placar [2, 1]",Dupla 1,"[2, 1]",Espadas,"('A', 'Espadas')",2025-02-13 08:23:26,2025-02-13 08:23:32
Singleplayer,"jooj, Bot1, Bot2, Bot3","Carta virada (Bebi): A de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: Q de Espadas, K de Ouros, A de Ouros
Jogador 2: 3 de Paus, K de Espadas, Q de Paus
Jogador 3: J de Ouros, 3 de Espadas, K de Copas
Jogador 4: 2 de Paus, A de Copas, J de Copas || Rodada: jooj: K de Ouros, Bot1: 3 de Paus, Bot2: J de Ouros, Bot3: J de Copas || Bot1 venceu a rodada. Motivo: A carta 3 de Paus foi a maior. || Rodada: jooj: A de Ouros, Bot1: K de Espadas, Bot2: K de Copas, Bot3: A de Copas || jooj venceu a rodada. Motivo: A carta A de Ouros foi a maior. || Rodada: jooj: Q de Espadas, Bot1: Q de Paus, Bot2: 3 de Espadas, Bot3: 2 de Paus || Bot2 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Dupla 1 venceu a partida com placar [2, 1] || Dupla 1 venceu a partida com placar [2, 1]",Dupla 1,"[2, 1]",Espadas,"('A', 'Espadas')",2025-02-13 08:23:26,2025-02-13 08:23:32
Multiplayer,"xjxakxjkaxjkaxjkjax, jajkaxjkxajkaxjkax, axlkaxlkaxlkax, kalxxallaxkax","Carta virada (Bebi): K de Ouros || Naipe principal: Ouros || Cartas distribuídas:
Jogador 1: 1 de Espadas, 10 de Ouros, 9 de Copas, 9 de Espadas, 7 de Espadas, J de Copas, 5 de Copas, K de Paus, A de Paus
Jogador 2: 3 de Espadas, 2 de Ouros, 3 de Ouros, 4 de Espadas, K de Espadas, 3 de Paus, 4 de Copas, 9 de Ouros, 1 de Ouros
Jogador 3: J de Paus, 6 de Paus, 10 de Paus, Q de Ouros, 7 de Copas, 1 de Copas, 1 de Paus, 5 de Ouros, 7 de Paus
Jogador 4: 10 de Copas, 2 de Paus, K de Copas, A de Espadas, 9 de Paus, 8 de Copas, 10 de Espadas, 2 de Copas, 4 de Paus || Dupla 1 venceu a partida com placar [0, 0]",Dupla 2,"[0, 0]",Ouros,"('K', 'Ouros')",2025-02-13 08:56:25,2025-02-13 09:01:43
Singleplayer,"Taty, Bot1, Bot2, Bot3","Carta virada (Bebi): J de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: J de Copas, 7 de Ouros, K de Copas, K de Ouros, 2 de Copas, 2 de Ouros, 1 de Ouros, K de Paus, 3 de Ouros
Jogador 2: 10 de Paus, 2 de Espadas, K de Espadas, Q de Espadas, A de Espadas, A de Paus, Q de Copas, 10 de Ouros, 5 de Copas
Jogador 3: J de Espadas, 8 de Copas, 2 de Paus, 8 de Ouros, 3 de Copas, 3 de Paus, 10 de Copas, 7 de Paus, 4 de Paus
Jogador 4: 1 de Copas, J de Ouros, 1 de Espadas, A de Copas, 6 de Espadas, 8 de Espadas, Q de Paus, 4 de Copas, 3 de Espadas || Rodada: Taty: 2 de Copas, Bot1: A de Espadas, Bot2: 8 de Copas, Bot3: 1 de Copas || Bot2 venceu a rodada. Motivo: A carta 8 de Copas foi a maior. || Rodada: Taty: K de Paus, Bot1: Q de Espadas, Bot2: 4 de Paus, Bot3: 8 de Espadas || Taty venceu a rodada. Motivo: A carta K de Paus foi a maior. || Rodada: Taty: 2 de Ouros, Bot1: 2 de Espadas, Bot2: J de Espadas, Bot3: A de Copas || Bot1 venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Rodada: Taty: 7 de Ouros, Bot1: 10 de Ouros, Bot2: 7 de Paus, Bot3: 6 de Espadas || Bot2 venceu a rodada. Motivo: A carta 7 de Paus foi a maior. || Rodada: Taty: K de Copas, Bot1: 10 de Paus, Bot2: 8 de Ouros, Bot3: 4 de Copas || Bot1 venceu a rodada. Motivo: A carta 10 de Paus foi a maior. || Rodada: Taty: 1 de Ouros, Bot1: Q de Copas, Bot2: 10 de Copas, Bot3: 1 de Espadas || Taty venceu a rodada. Motivo: A carta 1 de Ouros foi a maior. || Rodada: Taty: J de Copas, Bot1: A de Paus, Bot2: 3 de Copas, Bot3: 3 de Espadas || Bot3 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Taty: K de Ouros, Bot1: 5 de Copas, Bot2: 2 de Paus, Bot3: J de Ouros || Bot2 venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Rodada: Taty: 3 de Ouros, Bot1: K de Espadas, Bot2: 3 de Paus, Bot3: Q de Paus || Bot3 venceu a rodada. Motivo: A carta Q de Paus foi a maior. || Dupla 1 venceu a partida com placar [5, 4]",Dupla 1,"[5, 4]",Paus,"('J', 'Paus')",2025-02-13 09:06:19,2025-02-13 09:06:31
Singleplayer,"Taty, Bot1, Bot2, Bot3","Carta virada (Bebi): J de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: J de Copas, 7 de Ouros, K de Copas, K de Ouros, 2 de Copas, 2 de Ouros, 1 de Ouros, K de Paus, 3 de Ouros
Jogador 2: 10 de Paus, 2 de Espadas, K de Espadas, Q de Espadas, A de Espadas, A de Paus, Q de Copas, 10 de Ouros, 5 de Copas
Jogador 3: J de Espadas, 8 de Copas, 2 de Paus, 8 de Ouros, 3 de Copas, 3 de Paus, 10 de Copas, 7 de Paus, 4 de Paus
Jogador 4: 1 de Copas, J de Ouros, 1 de Espadas, A de Copas, 6 de Espadas, 8 de Espadas, Q de Paus, 4 de Copas, 3 de Espadas || Rodada: Taty: 2 de Copas, Bot1: A de Espadas, Bot2: 8 de Copas, Bot3: 1 de Copas || Bot2 venceu a rodada. Motivo: A carta 8 de Copas foi a maior. || Rodada: Taty: K de Paus, Bot1: Q de Espadas, Bot2: 4 de Paus, Bot3: 8 de Espadas || Taty venceu a rodada. Motivo: A carta K de Paus foi a maior. || Rodada: Taty: 2 de Ouros, Bot1: 2 de Espadas, Bot2: J de Espadas, Bot3: A de Copas || Bot1 venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Rodada: Taty: 7 de Ouros, Bot1: 10 de Ouros, Bot2: 7 de Paus, Bot3: 6 de Espadas || Bot2 venceu a rodada. Motivo: A carta 7 de Paus foi a maior. || Rodada: Taty: K de Copas, Bot1: 10 de Paus, Bot2: 8 de Ouros, Bot3: 4 de Copas || Bot1 venceu a rodada. Motivo: A carta 10 de Paus foi a maior. || Rodada: Taty: 1 de Ouros, Bot1: Q de Copas, Bot2: 10 de Copas, Bot3: 1 de Espadas || Taty venceu a rodada. Motivo: A carta 1 de Ouros foi a maior. || Rodada: Taty: J de Copas, Bot1: A de Paus, Bot2: 3 de Copas, Bot3: 3 de Espadas || Bot3 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Taty: K de Ouros, Bot1: 5 de Copas, Bot2: 2 de Paus, Bot3: J de Ouros || Bot2 venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Rodada: Taty: 3 de Ouros, Bot1: K de Espadas, Bot2: 3 de Paus, Bot3: Q de Paus || Bot3 venceu a rodada. Motivo: A carta Q de Paus foi a maior. || Dupla 1 venceu a partida com placar [5, 4] || Dupla 1 venceu a partida com placar [5, 4]",Dupla 1,"[5, 4]",Paus,"('J', 'Paus')",2025-02-13 09:06:19,2025-02-13 09:06:31
Singleplayer,"Tailan, Bot1, Bot2, Bot3","Carta virada (Bebi): 6 de Copas || Naipe principal: Copas || Cartas distribuídas:
Jogador 1: 7 de Espadas, 3 de Paus, A de Copas, A de Paus, 1 de Copas, 2 de Copas, 9 de Paus, 4 de Espadas, 10 de Copas
Jogador 2: Q de Ouros, 8 de Copas, 8 de Ouros, 2 de Espadas, 10 de Ouros, 7 de Ouros, 2 de Paus, 8 de Espadas, 1 de Espadas
Jogador 3: 4 de Copas, 4 de Ouros, 5 de Espadas, K de Ouros, K de Espadas, Q de Copas, 3 de Espadas, 7 de Paus, 5 de Copas
Jogador 4: 8 de Paus, J de Ouros, 5 de Ouros, 3 de Copas, 9 de Ouros, 10 de Espadas, 9 de Espadas, J de Espadas, 10 de Paus || Rodada: Tailan: 9 de Paus, Bot1: 1 de Espadas, Bot2: K de Espadas, Bot3: 10 de Espadas || Tailan venceu a rodada. Motivo: A carta 9 de Paus foi a maior. || Rodada: Tailan: 4 de Espadas, Bot1: 2 de Paus, Bot2: 4 de Copas, Bot3: 9 de Espadas || Bot1 venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Rodada: Tailan: 7 de Espadas, Bot1: Q de Ouros, Bot2: K de Ouros, Bot3: 10 de Paus || Tailan venceu a rodada. Motivo: A carta 7 de Espadas foi a maior. || Rodada: Tailan: 2 de Copas, Bot1: 7 de Ouros, Bot2: 5 de Espadas, Bot3: 8 de Paus || Tailan venceu a rodada. Motivo: A carta 2 de Copas foi a maior. || Rodada: Tailan: 10 de Copas, Bot1: 10 de Ouros, Bot2: 3 de Espadas, Bot3: 5 de Ouros || Bot2 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Tailan: A de Paus, Bot1: 8 de Ouros, Bot2: 5 de Copas, Bot3: J de Ouros || Bot2 venceu a rodada. Motivo: A carta 5 de Copas foi a maior. || Rodada: Tailan: 3 de Paus, Bot1: 8 de Espadas, Bot2: 7 de Paus, Bot3: J de Espadas || Tailan venceu a rodada. Motivo: A carta 3 de Paus foi a maior. || Rodada: Tailan: 1 de Copas, Bot1: 2 de Espadas, Bot2: 4 de Ouros, Bot3: 3 de Copas || Bot1 venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Rodada: Tailan: A de Copas, Bot1: 8 de Copas, Bot2: Q de Copas, Bot3: 9 de Ouros || Bot2 venceu a rodada. Motivo: A carta Q de Copas foi a maior. || Dupla 1 venceu a partida com placar [7, 2]",Dupla 1,"[7, 2]",Copas,"('6', 'Copas')",2025-02-13 09:25:33,2025-02-13 09:25:40
Singleplayer,"Tailan, Bot1, Bot2, Bot3","Carta virada (Bebi): 6 de Copas || Naipe principal: Copas || Cartas distribuídas:
Jogador 1: 7 de Espadas, 3 de Paus, A de Copas, A de Paus, 1 de Copas, 2 de Copas, 9 de Paus, 4 de Espadas, 10 de Copas
Jogador 2: Q de Ouros, 8 de Copas, 8 de Ouros, 2 de Espadas, 10 de Ouros, 7 de Ouros, 2 de Paus, 8 de Espadas, 1 de Espadas
Jogador 3: 4 de Copas, 4 de Ouros, 5 de Espadas, K de Ouros, K de Espadas, Q de Copas, 3 de Espadas, 7 de Paus, 5 de Copas
Jogador 4: 8 de Paus, J de Ouros, 5 de Ouros, 3 de Copas, 9 de Ouros, 10 de Espadas, 9 de Espadas, J de Espadas, 10 de Paus || Rodada: Tailan: 9 de Paus, Bot1: 1 de Espadas, Bot2: K de Espadas, Bot3: 10 de Espadas || Tailan venceu a rodada. Motivo: A carta 9 de Paus foi a maior. || Rodada: Tailan: 4 de Espadas, Bot1: 2 de Paus, Bot2: 4 de Copas, Bot3: 9 de Espadas || Bot1 venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Rodada: Tailan: 7 de Espadas, Bot1: Q de Ouros, Bot2: K de Ouros, Bot3: 10 de Paus || Tailan venceu a rodada. Motivo: A carta 7 de Espadas foi a maior. || Rodada: Tailan: 2 de Copas, Bot1: 7 de Ouros, Bot2: 5 de Espadas, Bot3: 8 de Paus || Tailan venceu a rodada. Motivo: A carta 2 de Copas foi a maior. || Rodada: Tailan: 10 de Copas, Bot1: 10 de Ouros, Bot2: 3 de Espadas, Bot3: 5 de Ouros || Bot2 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Tailan: A de Paus, Bot1: 8 de Ouros, Bot2: 5 de Copas, Bot3: J de Ouros || Bot2 venceu a rodada. Motivo: A carta 5 de Copas foi a maior. || Rodada: Tailan: 3 de Paus, Bot1: 8 de Espadas, Bot2: 7 de Paus, Bot3: J de Espadas || Tailan venceu a rodada. Motivo: A carta 3 de Paus foi a maior. || Rodada: Tailan: 1 de Copas, Bot1: 2 de Espadas, Bot2: 4 de Ouros, Bot3: 3 de Copas || Bot1 venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Rodada: Tailan: A de Copas, Bot1: 8 de Copas, Bot2: Q de Copas, Bot3: 9 de Ouros || Bot2 venceu a rodada. Motivo: A carta Q de Copas foi a maior. || Dupla 1 venceu a partida com placar [7, 2] || Dupla 1 venceu a partida com placar [7, 2]",Dupla 1,"[7, 2]",Copas,"('6', 'Copas')",2025-02-13 09:25:33,2025-02-13 09:25:40
Singleplayer,"uyyuy, Bot1, Bot2, Bot3","Carta virada (Bebi): K de Ouros || Naipe principal: Ouros || Cartas distribuídas:
Jogador 1: J de Copas, J de Paus, A de Espadas
Jogador 2: K de Paus, Q de Ouros, Q de Espadas
Jogador 3: J de Espadas, 2 de Espadas, J de Ouros
Jogador 4: K de Espadas, A de Ouros, Q de Copas || Rodada: uyyuy: J de Copas, Bot1: Q de Ouros, Bot2: J de Ouros, Bot3: Q de Copas || Bot1 venceu a rodada. Motivo: A carta Q de Ouros foi a maior. || Rodada: uyyuy: A de Espadas, Bot1: Q de Espadas, Bot2: 2 de Espadas, Bot3: K de Espadas || Bot2 venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Rodada: uyyuy: J de Paus, Bot1: K de Paus, Bot2: J de Espadas, Bot3: A de Ouros || Bot3 venceu a rodada. Motivo: A carta A de Ouros foi a maior. || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Ouros,"('K', 'Ouros')",2025-02-13 09:30:58,2025-02-13 09:31:12
Singleplayer,"uyyuy, Bot1, Bot2, Bot3","Carta virada (Bebi): K de Ouros || Naipe principal: Ouros || Cartas distribuídas:
Jogador 1: J de Copas, J de Paus, A de Espadas
Jogador 2: K de Paus, Q de Ouros, Q de Espadas
Jogador 3: J de Espadas, 2 de Espadas, J de Ouros
Jogador 4: K de Espadas, A de Ouros, Q de Copas || Rodada: uyyuy: J de Copas, Bot1: Q de Ouros, Bot2: J de Ouros, Bot3: Q de Copas || Bot1 venceu a rodada. Motivo: A carta Q de Ouros foi a maior. || Rodada: uyyuy: A de Espadas, Bot1: Q de Espadas, Bot2: 2 de Espadas, Bot3: K de Espadas || Bot2 venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Rodada: uyyuy: J de Paus, Bot1: K de Paus, Bot2: J de Espadas, Bot3: A de Ouros || Bot3 venceu a rodada. Motivo: A carta A de Ouros foi a maior. || Dupla 2 venceu a partida com placar [1, 2] || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Ouros,"('K', 'Ouros')",2025-02-13 09:30:58,2025-02-13 09:31:12
