Modo,Jogadores,Histórico,Vencedor,Placar,Naipe Principal,Carta Virada,Início da Partida,Término da Partida
Singleplayer,"Rubens, Bot1, Bot2, Bot3","Carta virada (Bebi): 2 de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: K de Espadas, K de Ouros, Q de Paus
Jogador 2: 3 de Espadas, 2 de Paus, K de Paus
Jogador 3: J de Ouros, J de Espadas, A de Ouros
Jogador 4: A de Espadas, Q de Espadas, Q de Copas || Rodada: Rubens: K de Ouros, Bot1: 3 de Espadas, Bot2: A de Ouros, Bot3: A de Espadas || Bot1 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Rubens: Q de Paus, Bot1: K de Paus, Bot2: J de Ouros, Bot3: Q de Espadas || Bot3 venceu a rodada. Motivo: A carta Q de Espadas foi a maior. || Rodada: Rubens: K de Espadas, Bot1: 2 de Paus, Bot2: J de Espadas, Bot3: Q de Copas || Bot1 venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Dupla 2 venceu a partida com placar [0, 3] || Dupla 2 venceu a partida com placar [0, 3]",Dupla 2,"[0, 3]",Espadas,"('2', 'Espadas')",2025-02-10 16:24:58,2025-02-10 16:25:03
Multiplayer,"Tailan, Kaio, Arthur, Criston","Carta virada (Bebi): K de Copas || Naipe principal: Copas || Cartas distribuídas:
Jogador 1: Q de Ouros, Q de Paus, Q de Copas
Jogador 2: A de Ouros, K de Ouros, A de Paus
Jogador 3: A de Espadas, J de Ouros, 2 de Espadas
Jogador 4: 3 de Espadas, K de Espadas, A de Copas || Tailan venceu a rodada. Motivo: A carta Q de Copas foi a maior. || Tailan venceu a rodada. Motivo: A carta Q de Paus foi a maior. || Criston venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Dupla 1 venceu a partida com placar [2, 1]",Dupla 1,"[2, 1]",Copas,"('K', 'Copas')",2025-02-10 16:26:09,2025-02-10 16:30:51
Singleplayer,"Tailan, Bot1, Bot2, Bot3","Carta virada (Bebi): 9 de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: 10 de Copas, Q de Espadas, A de Espadas, 6 de Paus, 8 de Copas, J de Ouros, 4 de Copas, 3 de Ouros, A de Copas
Jogador 2: Q de Copas, 8 de Paus, K de Espadas, J de Copas, J de Paus, 1 de Ouros, 1 de Espadas, 5 de Copas, 5 de Paus
Jogador 3: K de Copas, 2 de Paus, 3 de Copas, 8 de Espadas, A de Paus, 5 de Ouros, 7 de Ouros, 2 de Ouros, A de Ouros
Jogador 4: Q de Ouros, 7 de Paus, K de Ouros, 4 de Espadas, 1 de Copas, 5 de Espadas, 6 de Copas, 2 de Copas, 7 de Espadas || Rodada: Tailan: 4 de Copas, Bot1: Q de Copas, Bot2: K de Copas, Bot3: 7 de Espadas || Bot2 venceu a rodada. Motivo: A carta K de Copas foi a maior. || Rodada: Tailan: 6 de Paus, Bot1: 1 de Ouros, Bot2: 8 de Espadas, Bot3: 2 de Copas || Tailan venceu a rodada. Motivo: A carta 6 de Paus foi a maior. || Rodada: Tailan: A de Espadas, Bot1: 1 de Espadas, Bot2: 2 de Ouros, Bot3: 6 de Copas || Tailan venceu a rodada. Motivo: A carta A de Espadas foi a maior. || Rodada: Tailan: 10 de Copas, Bot1: 5 de Paus, Bot2: A de Ouros, Bot3: 5 de Espadas || Bot2 venceu a rodada. Motivo: A carta A de Ouros foi a maior. || Rodada: Tailan: 8 de Copas, Bot1: K de Espadas, Bot2: 2 de Paus, Bot3: K de Ouros || Bot2 venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Rodada: Tailan: J de Ouros, Bot1: J de Copas, Bot2: A de Paus, Bot3: 1 de Copas || Bot2 venceu a rodada. Motivo: A carta A de Paus foi a maior. || Rodada: Tailan: Q de Espadas, Bot1: 5 de Copas, Bot2: 3 de Copas, Bot3: 7 de Paus || Bot3 venceu a rodada. Motivo: A carta 7 de Paus foi a maior. || Rodada: Tailan: A de Copas, Bot1: J de Paus, Bot2: 5 de Ouros, Bot3: Q de Ouros || Bot1 venceu a rodada. Motivo: A carta J de Paus foi a maior. || Rodada: Tailan: 3 de Ouros, Bot1: 8 de Paus, Bot2: 7 de Ouros, Bot3: 4 de Espadas || Bot1 venceu a rodada. Motivo: A carta 8 de Paus foi a maior. || Dupla 1 venceu a partida com placar [6, 3]",Dupla 1,"[6, 3]",Paus,"('9', 'Paus')",2025-02-11 13:39:31,2025-02-11 13:39:41
Singleplayer,"Tailan, Bot1, Bot2, Bot3","Carta virada (Bebi): 9 de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: 10 de Copas, Q de Espadas, A de Espadas, 6 de Paus, 8 de Copas, J de Ouros, 4 de Copas, 3 de Ouros, A de Copas
Jogador 2: Q de Copas, 8 de Paus, K de Espadas, J de Copas, J de Paus, 1 de Ouros, 1 de Espadas, 5 de Copas, 5 de Paus
Jogador 3: K de Copas, 2 de Paus, 3 de Copas, 8 de Espadas, A de Paus, 5 de Ouros, 7 de Ouros, 2 de Ouros, A de Ouros
Jogador 4: Q de Ouros, 7 de Paus, K de Ouros, 4 de Espadas, 1 de Copas, 5 de Espadas, 6 de Copas, 2 de Copas, 7 de Espadas || Rodada: Tailan: 4 de Copas, Bot1: Q de Copas, Bot2: K de Copas, Bot3: 7 de Espadas || Bot2 venceu a rodada. Motivo: A carta K de Copas foi a maior. || Rodada: Tailan: 6 de Paus, Bot1: 1 de Ouros, Bot2: 8 de Espadas, Bot3: 2 de Copas || Tailan venceu a rodada. Motivo: A carta 6 de Paus foi a maior. || Rodada: Tailan: A de Espadas, Bot1: 1 de Espadas, Bot2: 2 de Ouros, Bot3: 6 de Copas || Tailan venceu a rodada. Motivo: A carta A de Espadas foi a maior. || Rodada: Tailan: 10 de Copas, Bot1: 5 de Paus, Bot2: A de Ouros, Bot3: 5 de Espadas || Bot2 venceu a rodada. Motivo: A carta A de Ouros foi a maior. || Rodada: Tailan: 8 de Copas, Bot1: K de Espadas, Bot2: 2 de Paus, Bot3: K de Ouros || Bot2 venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Rodada: Tailan: J de Ouros, Bot1: J de Copas, Bot2: A de Paus, Bot3: 1 de Copas || Bot2 venceu a rodada. Motivo: A carta A de Paus foi a maior. || Rodada: Tailan: Q de Espadas, Bot1: 5 de Copas, Bot2: 3 de Copas, Bot3: 7 de Paus || Bot3 venceu a rodada. Motivo: A carta 7 de Paus foi a maior. || Rodada: Tailan: A de Copas, Bot1: J de Paus, Bot2: 5 de Ouros, Bot3: Q de Ouros || Bot1 venceu a rodada. Motivo: A carta J de Paus foi a maior. || Rodada: Tailan: 3 de Ouros, Bot1: 8 de Paus, Bot2: 7 de Ouros, Bot3: 4 de Espadas || Bot1 venceu a rodada. Motivo: A carta 8 de Paus foi a maior. || Dupla 1 venceu a partida com placar [6, 3] || Dupla 1 venceu a partida com placar [6, 3]",Dupla 1,"[6, 3]",Paus,"('9', 'Paus')",2025-02-11 13:39:31,2025-02-11 13:39:41
Multiplayer,"Tailan, Arthur, Rubens, kaio","Carta virada (Bebi): 6 de Copas || Naipe principal: Copas || Cartas distribuídas:
Jogador 1: A de Ouros, 7 de Ouros, 2 de Copas, 10 de Ouros, 5 de Paus, 5 de Espadas, K de Copas, 8 de Copas, A de Copas
Jogador 2: J de Ouros, 6 de Paus, 4 de Paus, 2 de Paus, K de Ouros, 2 de Espadas, 4 de Ouros, 8 de Espadas, A de Paus
Jogador 3: Q de Copas, 4 de Copas, 5 de Copas, 9 de Copas, 5 de Ouros, 9 de Paus, 1 de Espadas, 7 de Copas, A de Espadas
Jogador 4: 4 de Espadas, 7 de Paus, 1 de Paus, 6 de Espadas, 2 de Ouros, 9 de Espadas, 10 de Copas, J de Copas, 8 de Ouros || kaio venceu a rodada. Motivo: A carta 1 de Paus foi a maior. || Arthur venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Tailan venceu a rodada. Motivo: A carta 2 de Copas foi a maior. || Rubens venceu a rodada. Motivo: A carta Q de Copas foi a maior. || kaio venceu a rodada. Motivo: A carta J de Copas foi a maior. || Tailan venceu a rodada. Motivo: A carta K de Copas foi a maior. || Arthur venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Rubens venceu a rodada. Motivo: A carta 9 de Copas foi a maior. || kaio venceu a rodada. Motivo: A carta 10 de Copas foi a maior. || Dupla 2 venceu a partida com placar [4, 5]",Dupla 2,"[4, 5]",Copas,"('6', 'Copas')",2025-02-11 13:47:26,2025-02-11 13:52:41
Singleplayer,"Aasasas, Bot1, Bot2, Bot3","Carta virada (Bebi): 2 de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: K de Copas, Q de Ouros, 3 de Espadas
Jogador 2: K de Ouros, A de Espadas, A de Ouros
Jogador 3: K de Paus, Q de Copas, J de Paus
Jogador 4: 3 de Paus, 2 de Paus, Q de Espadas || Rodada: Aasasas: 3 de Espadas, Bot1: K de Ouros, Bot2: J de Paus, Bot3: 2 de Paus || Aasasas venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Aasasas: K de Copas, Bot1: A de Ouros, Bot2: Q de Copas, Bot3: Q de Espadas || Bot3 venceu a rodada. Motivo: A carta Q de Espadas foi a maior. || Rodada: Aasasas: Q de Ouros, Bot1: A de Espadas, Bot2: K de Paus, Bot3: 3 de Paus || Bot3 venceu a rodada. Motivo: A carta 3 de Paus foi a maior. || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Espadas,"('2', 'Espadas')",2025-02-11 14:07:29,2025-02-11 14:07:39
Singleplayer,"Aasasas, Bot1, Bot2, Bot3","Carta virada (Bebi): 2 de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: K de Copas, Q de Ouros, 3 de Espadas
Jogador 2: K de Ouros, A de Espadas, A de Ouros
Jogador 3: K de Paus, Q de Copas, J de Paus
Jogador 4: 3 de Paus, 2 de Paus, Q de Espadas || Rodada: Aasasas: 3 de Espadas, Bot1: K de Ouros, Bot2: J de Paus, Bot3: 2 de Paus || Aasasas venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Aasasas: K de Copas, Bot1: A de Ouros, Bot2: Q de Copas, Bot3: Q de Espadas || Bot3 venceu a rodada. Motivo: A carta Q de Espadas foi a maior. || Rodada: Aasasas: Q de Ouros, Bot1: A de Espadas, Bot2: K de Paus, Bot3: 3 de Paus || Bot3 venceu a rodada. Motivo: A carta 3 de Paus foi a maior. || Dupla 2 venceu a partida com placar [1, 2] || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Espadas,"('2', 'Espadas')",2025-02-11 14:07:29,2025-02-11 14:07:39
Multiplayer,"Tailan, Tytyat, Arthur, assadaad","Carta virada (Bebi): Q de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: A de Ouros, K de Copas, K de Paus
Jogador 2: K de Ouros, J de Paus, 3 de Paus
Jogador 3: J de Ouros, 2 de Espadas, A de Copas
Jogador 4: Q de Copas, Q de Paus, A de Espadas || Tytyat venceu a rodada. Motivo: A carta 3 de Paus foi a maior. || Dupla 1 venceu a partida com placar [0, 1]",Dupla 2,"[0, 1]",Espadas,"('Q', 'Espadas')",2025-02-11 14:20:47,2025-02-11 14:21:08
Multiplayer,"Aassaassa, asassaksalas, ajskajs, addad","Carta virada (Bebi): A de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: A de Espadas, 2 de Paus, J de Ouros
Jogador 2: K de Copas, K de Paus, Q de Ouros
Jogador 3: K de Ouros, Q de Copas, 3 de Paus
Jogador 4: 3 de Espadas, J de Paus, K de Espadas || Dupla 1 venceu a partida com placar [0, 0]",Dupla 2,"[0, 0]",Paus,"('A', 'Paus')",2025-02-11 14:22:18,2025-02-11 14:22:24
Singleplayer,"testes, Bot1, Bot2, Bot3","Carta virada (Bebi): 3 de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: J de Paus, A de Paus, J de Copas
Jogador 2: 3 de Paus, K de Paus, K de Espadas
Jogador 3: Q de Ouros, A de Espadas, J de Ouros
Jogador 4: Q de Paus, 2 de Paus, Q de Espadas || Rodada: testes: J de Paus, Bot1: K de Espadas, Bot2: Q de Ouros, Bot3: 2 de Paus || Bot3 venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Rodada: testes: A de Paus, Bot1: 3 de Paus, Bot2: J de Ouros, Bot3: Q de Espadas || Bot3 venceu a rodada. Motivo: A carta Q de Espadas foi a maior. || Rodada: testes: J de Copas, Bot1: K de Paus, Bot2: A de Espadas, Bot3: Q de Paus || Bot2 venceu a rodada. Motivo: A carta A de Espadas foi a maior. || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Espadas,"('3', 'Espadas')",2025-02-11 22:11:38,2025-02-11 22:11:44
